variant,mode,rewired,macro_f1,micro_f1,mean_auc_pr,n_params
bert_only,bert_only,False,0.16891776178104995,0.20065627563576702,0.1753179749255697,926388
gnn_only,gnn_only,False,0.325870730517468,0.30897936419408817,0.3385186774010752,926388
early_concat,early_concat,False,0.3391594445672702,0.36624122200010256,0.3419387070467073,1025716
late_concat,late_concat,False,0.32977435679561756,0.3694166190251299,0.3382408860855438,1025716
cross_attention,cross_attention,False,0.3147701874222395,0.3546785741013296,0.3176280312975789,1454004
gated,gated,False,0.30848517175380974,0.351699175547959,0.3186322779849939,1124020
bidirectional,bidirectional,False,0.3303371127179393,0.3710677612914564,0.33450103736317993,2080948
cross_attention + rewired graph,cross_attention,True,0.32070205013773545,0.3357121130583308,0.3361973409916344,1454004
